#OS_ID, MET, file, BGO_0_N, BGO_1_N, NAI_N, Date, UTC, Width_ms, P2, Lon, Lat, Alt, LST, TRIG_ID
oTGF120418869, 356475068.673312, glg_tte_b0_120418863_v00, 8, 4, 23, 2012-04-18, 20:51:06.67331, 0.050000, 8.94E-46, 34.0728, +0.7546, 553.80, 0.964, NULL
oTGF120419529, 356532112.520000, glg_tte_b0_120419522_v00, 5, 9, 19, 2012-04-19, 12:41:50.52000, 0.400000, 1.44E-23, 139.8821, -4.6954, 556.24, 0.918, NULL
oTGF120420266, 356595825.566620, glg_tte_b0_120420263_v00, 15, 15, 28, 2012-04-20, 06:23:43.56662, 0.283000, 2.66E-57, 271.5952, +14.7126, 550.84, 0.022, NULL
oTGF120421122, 356669737.260700, glg_tte_b0_120421119_v00, 4, 5, 23, 2012-04-21, 02:55:35.26070, 0.100000, 2.21E-37, 287.5761, +1.7463, 555.33, 0.922, NULL
oTGF120421156, 356672722.891050, glg_tte_b0_120421155_v00, 4, 7, 37, 2012-04-21, 03:45:20.89105, 0.200000, 1.29E-50, 102.0777, -5.1735, 537.85, 0.441, NULL
oTGF120421334, 356688064.519846, glg_tte_b0_120421327_v00, 4, 5, 13, 2012-04-21, 08:01:02.51984, 0.070700, 1.71E-25, 281.0312, +24.9502, 547.02, 0.116, NULL
oTGF120422013, 356746718.620750, glg_tte_b0_120422008_v00, 5, 10, 51, 2012-04-22, 00:18:36.62075, 0.200000, 2.54E-74, 122.9748, +6.3312, 536.02, 0.356, NULL
oTGF120422444, 356783922.004300, glg_tte_b0_bn120422444_v00, 16, 15, 84, 2012-04-22, 10:38:40.00430, 0.100000, 3.05E-196, 144.2835, -6.4903, 556.28, 0.845, tTGF120422444
oTGF120424105, 356927487.130528, glg_tte_b0_120424102_v00, 6, 6, 15, 2012-04-24, 02:31:25.13052, 0.141000, 4.10E-27, 279.0306, +5.7812, 554.95, 0.882, NULL
oTGF120424764, 356984385.138850, glg_tte_b0_120424761_v00, 12, 12, 24, 2012-04-24, 18:19:43.13885, 0.200000, 3.88E-40, 17.1995, -3.6150, 553.99, 0.813, NULL
oTGF120425260, 357027240.721633, glg_tte_b0_bn120425260_v00, 18, 21, 50, 2012-04-25, 06:13:58.72163, 0.283000, 4.13E-106, 10.2524, +5.7601, 539.43, 0.290, tTGF120425260
oTGF120425758, 357070306.217250, glg_tte_b0_120425755_v00, 18, 16, 33, 2012-04-25, 18:11:44.21725, 1.000000, 5.16E-22, 14.6015, -2.1352, 552.76, 0.800, NULL
oTGF120426025, 357093345.281821, glg_tte_b0_120426023_v00, 7, 11, 40, 2012-04-26, 00:35:43.28182, 0.141000, 1.68E-72, 284.5621, +1.7241, 552.91, 0.817, NULL
oTGF120426487, 357133283.601785, glg_tte_b0_120426485_v00, 11, 7, 41, 2012-04-26, 11:41:21.60178, 0.141000, 1.06E-77, 107.0530, -1.9012, 551.62, 0.786, NULL
oTGF120426844, 357164143.417575, glg_tte_b0_120426841_v00, 12, 12, 53, 2012-04-26, 20:15:41.41757, 0.100000, 3.65E-110, 118.7564, +17.5277, 546.94, 0.176, NULL
oTGF120427677, 357236109.918500, glg_tte_b0_120427675_v00, 19, 13, 62, 2012-04-27, 16:15:07.91850, 0.200000, 2.29E-100, 17.2275, -7.6320, 548.54, 0.727, NULL
oTGF120428015, 357265309.782548, glg_tte_b0_bn120428015_v00, 19, 19, 56, 2012-04-28, 00:21:47.78254, 0.632000, 7.57E-77, 285.8966, +7.9473, 551.36, 0.811, tTGF120428015
oTGF120429897, 357427908.502027, glg_tte_b0_120429896_v00, 6, 8, 24, 2012-04-29, 21:31:46.50202, 0.141000, 2.98E-42, 102.4789, +6.9228, 548.21, 0.184, NULL
oTGF120430162, 357450806.682792, glg_tte_b0_bn120430163_v00, 5, 9, 36, 2012-04-30, 03:53:24.68279, 0.283000, 4.88E-47, 5.0531, +6.9048, 548.72, 0.178, NULL
oTGF120430163, 357450897.752900, glg_tte_b0_bn120430163_v00, 20, 25, 54, 2012-04-30, 03:54:55.75290, 0.400000, 2.65E-107, 9.8778, +4.4685, 547.98, 0.193, tTGF120430163
oTGF120430398, 357471203.785896, glg_tte_b0_120430397_v00, 11, 11, 52, 2012-04-30, 09:33:21.78589, 0.141000, 3.62E-104, 118.9961, +2.9948, 545.61, 0.731, NULL
oTGF120430757, 357502249.527708, glg_tte_b0_bn120430757_v00, 18, 13, 52, 2012-04-30, 18:10:47.52770, 0.283000, 3.75E-85, 141.6711, +8.9193, 550.30, 0.153, tTGF120430757
oTGF120501158, 357536872.601256, glg_tte_b0_120501153_v00, 13, 12, 48, 2012-05-01, 03:47:50.60125, 0.141000, 3.76E-101, 10.1426, +1.5132, 549.04, 0.188, NULL
oTGF120501465, 357563362.313722, glg_tte_b0_120501460_v00, 10, 9, 29, 2012-05-01, 11:09:20.31372, 0.141000, 5.56E-57, 120.2137, +17.1302, 548.85, 0.801, NULL
oTGF120502918, 357688906.069000, glg_tte_b0_120502914_v00, 10, 17, 19, 2012-05-02, 22:01:44.06900, 0.400000, 3.97E-38, 282.4466, +7.6861, 542.27, 0.705, NULL
oTGF120503845, 357769018.846700, glg_tte_b0_120503840_v00, 9, 5, 19, 2012-05-03, 20:16:56.84670, 0.400000, 7.15E-22, 299.8081, +6.9200, 540.41, 0.680, NULL
oTGF120503878, 357771848.010975, glg_tte_b0_120503875_v00, 13, 13, 64, 2012-05-03, 21:04:06.01097, 0.100000, 9.78E-143, 105.7192, -5.9699, 552.26, 0.174, NULL
oTGF120505333, 357897530.213775, glg_tte_b0_120505325_v00, 11, 6, 26, 2012-05-05, 07:58:48.21377, 0.100000, 4.96E-58, 276.4077, +0.9118, 554.69, 0.103, NULL
oTGF120507573, 358091151.503600, glg_tte_b0_120507571_v00, 14, 11, 13, 2012-05-07, 13:45:49.50360, 0.400000, 9.31E-25, 111.2753, +23.2696, 549.70, 0.885, NULL
oTGF120508498, 358170988.294440, glg_tte_b0_120508496_v00, 7, 7, 20, 2012-05-08, 11:56:26.29444, 0.141000, 6.17E-32, 110.6186, +25.6386, 545.10, 0.807, NULL
oTGF120508642, 358183441.534704, glg_tte_b0_120508637_v00, 4, 5, 16, 2012-05-08, 15:23:59.53470, 0.141000, 5.87E-23, 122.0964, +9.0848, 553.16, 0.983, NULL
oTGF120510198, 358317941.442029, glg_tte_b0_bn120510198_v00, 21, 24, 57, 2012-05-10, 04:45:39.44202, 0.283000, 3.39E-125, 88.0536, -9.7862, 542.02, 0.445, tTGF120510198
oTGF120511161, 358401124.680400, glg_tte_b0_120511155_v00, 6, 4, 22, 2012-05-11, 03:52:02.68040, 0.200000, 4.99E-30, 284.7639, +4.8791, 551.32, 0.955, NULL
oTGF120511412, 358422815.605400, glg_tte_b0_120511409_v00, 11, 14, 24, 2012-05-11, 09:53:33.60540, 0.200000, 2.43E-46, 115.7264, +25.7214, 539.51, 0.736, NULL
oTGF120513080, 358566900.771441, glg_tte_b0_120513070_v00, 10, 11, 62, 2012-05-13, 01:54:58.77144, 0.283000, 4.28E-91, 285.9723, +10.8476, 545.28, 0.877, NULL
oTGF120513612, 358612883.210600, glg_tte_b0_120513611_v00, 11, 4, 26, 2012-05-13, 14:41:21.21060, 0.200000, 8.48E-42, 101.1674, +5.9648, 546.48, 0.896, NULL
oTGF120513880, 358636001.067430, glg_tte_b0_120513873_v00, 7, 4, 39, 2012-05-13, 21:06:39.06743, 0.141000, 1.30E-61, 15.3299, -0.0226, 548.95, 0.925, NULL
oTGF120514142, 358658678.018926, glg_tte_b0_120514137_v00, 7, 7, 17, 2012-05-14, 03:24:36.01892, 0.141000, 1.31E-33, 266.2883, +5.9465, 545.43, 0.884, NULL
oTGF120514875, 358721972.720150, glg_tte_b0_bn120514875_v00, 21, 20, 84, 2012-05-14, 20:59:30.72015, 0.200000, 6.21E-179, 15.5167, -2.9530, 548.66, 0.920, tTGF120514875
oTGF120515038, 358736058.509900, glg_tte_b0_120515034_v00, 9, 13, 49, 2012-05-15, 00:54:16.50990, 0.400000, 6.58E-69, 122.4016, -3.3717, 546.86, 0.380, NULL
oTGF120517052, 358910067.100001, glg_tte_b0_120517050_v00, 5, 6, 21, 2012-05-17, 01:14:25.10000, 0.141000, 2.88E-33, 247.7389, +17.5525, 536.39, 0.742, NULL
oTGF120517381, 358938526.035429, glg_tte_b0_120517378_v00, 7, 11, 56, 2012-05-17, 09:08:44.03542, 0.283000, 1.10E-70, 116.2490, +20.6279, 535.92, 0.706, NULL
oTGF120518020, 358993717.834047, glg_tte_b0_120518018_v00, 9, 12, 45, 2012-05-18, 00:28:35.83404, 0.141000, 5.93E-89, 109.6106, -1.5175, 551.28, 0.327, NULL
oTGF120519774, 359145249.948250, glg_tte_b0_120519771_v00, 9, 14, 20, 2012-05-19, 18:34:07.94825, 1.000000, 2.27E-20, 355.8303, +5.6949, 536.72, 0.765, NULL
oTGF120520009, 359165550.501247, glg_tte_b0_120520007_v00, 14, 8, 29, 2012-05-20, 00:12:28.50124, 0.283000, 1.86E-49, 104.2799, +1.3868, 552.88, 0.301, NULL
oTGF120520437, 359202555.784750, glg_tte_b0_bn120520437_v00, 20, 20, 131, 2012-05-20, 10:29:13.78475, 0.200000, 1.01E-259, 115.5536, +3.9886, 536.51, 0.760, tTGF120520437
oTGF120521199, 359268357.471100, glg_tte_b0_120521197_v00, 7, 9, 29, 2012-05-21, 04:45:55.47110, 0.400000, 5.80E-22, 13.7595, -4.7958, 556.05, 0.239, NULL
oTGF120521890, 359328096.116420, glg_tte_b0_120521882_v00, 8, 12, 29, 2012-05-21, 21:21:34.11642, 0.632000, 1.24E-29, 278.2240, +14.0288, 535.73, 0.665, NULL
oTGF120522162, 359351621.333412, glg_tte_b0_120522161_v00, 6, 4, 22, 2012-05-22, 03:53:39.33341, 0.050000, 1.03E-44, 214.4991, -2.4425, 537.11, 0.760, NULL
oTGF120522692, 359397369.538600, glg_tte_b0_120522685_v00, 5, 9, 37, 2012-05-22, 16:36:07.53860, 0.200000, 3.91E-55, 17.1909, -1.2029, 536.58, 0.742, NULL
oTGF120522693, 359397500.819950, glg_tte_b0_120522685_v00, 17, 16, 46, 2012-05-22, 16:38:18.81995, 0.200000, 1.17E-100, 24.1245, -4.7685, 537.52, 0.763, NULL
oTGF120522887, 359414258.100500, glg_tte_b0_bn120522887_v00, 20, 22, 49, 2012-05-22, 21:17:36.10050, 1.000000, 3.93E-62, 289.0829, +6.5031, 535.72, 0.693, tTGF120522887
oTGF120523615, 359477178.663194, glg_tte_b0_120523610_v00, 6, 10, 23, 2012-05-23, 14:46:16.66319, 0.283000, 3.47E-34, 18.6282, +7.7063, 536.20, 0.669, NULL
oTGF120523685, 359483219.637200, glg_tte_b0_120523679_v00, 7, 5, 26, 2012-05-23, 16:26:57.63720, 0.200000, 1.46E-37, 11.0440, -0.8495, 536.40, 0.718, NULL
oTGF120524449, 359549221.883875, glg_tte_b0_bn120524451_v00, 11, 12, 33, 2012-05-24, 10:46:59.88387, 0.100000, 1.39E-77, 279.9628, +5.5238, 554.84, 0.229, NULL
oTGF120524451, 359549331.490400, glg_tte_b0_bn120524451_v00, 25, 35, 89, 2012-05-24, 10:48:49.49040, 0.400000, 1.34E-174, 285.7948, +8.4041, 554.62, 0.247, tTGF120524451
oTGF120525445, 359635229.784803, glg_tte_b0_bn120525445_v00, 21, 16, 69, 2012-05-25, 10:40:27.78480, 0.141000, 5.84E-156, 282.2994, +9.3435, 554.62, 0.231, tTGF120525445
oTGF120525870, 359671971.601250, glg_tte_b0_120525862_v00, 4, 11, 57, 2012-05-25, 20:52:49.60125, 0.200000, 6.91E-88, 279.3300, +3.1310, 537.75, 0.648, NULL
oTGF120526437, 359720973.914900, glg_tte_b0_bn120526439_v00, 7, 4, 23, 2012-05-26, 10:29:31.91490, 0.200000, 5.90E-31, 270.5610, +6.2861, 554.10, 0.191, NULL
oTGF120526439, 359721158.851247, glg_tte_b0_bn120526439_v00, 32, 29, 167, 2012-05-26, 10:32:36.85124, 0.283000, 4.49E-336, 280.4954, +11.0431, 554.45, 0.220, tTGF120526439
oTGF120526580, 359733318.860700, glg_tte_b0_120526574_v00, 5, 5, 19, 2012-05-26, 13:55:16.86070, 0.100000, 3.62E-30, 273.7784, +24.1457, 553.56, 0.343, NULL
oTGF120526602, 359735197.094996, glg_tte_b0_120526593_v00, 4, 11, 24, 2012-05-26, 14:26:35.09499, 0.141000, 1.80E-45, 25.0065, -3.9421, 538.07, 0.673, NULL
oTGF120527526, 359815075.362614, glg_tte_b0_120527518_v00, 5, 14, 24, 2012-05-27, 12:37:53.36261, 0.141000, 9.30E-53, 30.2120, +3.1312, 540.08, 0.612, NULL
oTGF120527596, 359821096.434051, glg_tte_b0_120527588_v00, 4, 6, 12, 2012-05-27, 14:18:14.43405, 0.070700, 1.46E-28, 21.5016, -4.9400, 539.10, 0.658, NULL
oTGF120527824, 359840821.569521, glg_tte_b0_bn120527824_v00, 26, 19, 50, 2012-05-27, 19:46:59.56952, 0.283000, 4.90E-117, 100.0580, -3.4023, 551.14, 0.104, tTGF120527824
oTGF120527830, 359841326.211800, glg_tte_b0_120527828_v00, 8, 13, 29, 2012-05-27, 19:55:24.21180, 0.200000, 1.90E-56, 126.7390, +10.0698, 553.25, 0.184, NULL
oTGF120530151, 360041866.751600, glg_tte_b0_120530146_v00, 7, 6, 20, 2012-05-30, 03:37:44.75160, 0.200000, 1.41E-26, 4.8992, +14.8259, 551.99, 0.167, NULL
oTGF120530347a, 360058753.429000, glg_tte_b0_bn120530347_v00, 24, 27, 79, 2012-05-30, 08:19:11.42900, 4.000000, 2.45E-32, 276.1686, +7.8140, 549.43, 0.115, tTGF120530347
oTGF120530347b, 360058790.446600, glg_tte_b0_bn120530347_v00, 18, 24, 91, 2012-05-30, 08:19:48.44660, 0.200000, 2.03E-188, 278.1545, +8.7735, 549.74, 0.121, NULL
oTGF120530413, 360064507.315414, glg_tte_b0_120530413_v00, 8, 6, 14, 2012-05-30, 09:55:05.31541, 0.141000, 8.74E-30, 253.3984, +8.5868, 549.55, 0.119, NULL
oTGF120531502, 360158615.004726, glg_tte_b0_120531496_v00, 9, 9, 49, 2012-05-31, 12:03:33.00472, 0.070700, 7.83E-110, 13.2266, +0.6065, 546.71, 0.541, NULL
oTGF120601404, 360236535.196762, glg_tte_b0_120601402_v00, 5, 6, 12, 2012-06-01, 09:42:13.19676, 0.141000, 2.79E-22, 259.3500, +15.9403, 548.93, 0.126, NULL
oTGF120602615, 360341114.775003, glg_tte_b0_bn120602615_v00, 12, 15, 104, 2012-06-02, 14:45:12.77500, 0.141000, 4.96E-203, 277.1062, +17.3404, 553.95, 0.386, tTGF120602615
oTGF120603681, 360433198.193800, glg_tte_b0_120603673_v00, 14, 13, 59, 2012-06-03, 16:19:56.19380, 0.200000, 4.52E-110, 274.7025, +5.2511, 552.85, 0.445, NULL
oTGF120604082, 360467889.290500, glg_tte_b0_bn120604082_v00, 22, 42, 167, 2012-06-04, 01:58:07.29050, 0.400000, 2.37E-309, 146.7319, -4.1301, 552.00, 0.491, tTGF120604082
oTGF120605312, 360574189.616907, glg_tte_b0_bn120605312_v00, 19, 22, 84, 2012-06-05, 07:29:47.61690, 0.141000, 4.84E-192, 258.1316, +14.4719, 540.89, 0.030, tTGF120605312
oTGF120605600, 360599038.504775, glg_tte_b0_120605592_v00, 7, 5, 16, 2012-06-05, 14:23:56.50477, 0.100000, 8.76E-34, 279.8007, +9.3489, 554.44, 0.378, NULL
oTGF120605851, 360620700.853600, glg_tte_b0_bn120605851_v00, 34, 29, 103, 2012-06-05, 20:24:58.85360, 0.400000, 7.10E-183, 107.1170, +25.2734, 547.93, 0.149, tTGF120605851
oTGF120605969, 360630958.853525, glg_tte_b0_120605969_v00, 9, 11, 46, 2012-06-05, 23:15:56.85352, 0.100000, 1.86E-85, 348.9539, +2.3832, 536.97, 0.940, NULL
oTGF120606309, 360660279.992214, glg_tte_b0_120606305_v00, 14, 11, 40, 2012-06-06, 07:24:37.99221, 0.632000, 1.45E-42, 265.9480, +19.2858, 541.52, 0.048, NULL
oTGF120607590, 360770958.698975, glg_tte_b0_120607581_v00, 5, 7, 31, 2012-06-07, 14:09:16.69897, 0.100000, 5.18E-57, 279.5227, +4.0920, 554.81, 0.367, NULL
oTGF120607770, 360786547.484332, glg_tte_b0_120607768_v00, 5, 4, 24, 2012-06-07, 18:29:05.48433, 0.141000, 1.76E-31, 110.8464, +24.1737, 542.53, 0.079, NULL
oTGF120608583, 360856740.555797, glg_tte_b0_120608577_v00, 6, 6, 18, 2012-06-08, 13:58:58.55579, 0.070700, 1.27E-40, 269.9411, +6.1809, 553.94, 0.333, NULL
oTGF120610500, 361022384.568500, glg_tte_b0_120610495_v00, 5, 13, 27, 2012-06-10, 11:59:42.56850, 0.400000, 4.80E-34, 264.2064, +14.9461, 548.60, 0.234, NULL
oTGF120611428, 361102612.745100, glg_tte_b0_120611418_v00, 10, 7, 30, 2012-06-11, 10:16:50.74510, 0.400000, 5.88E-36, 288.2655, +12.7992, 547.88, 0.229, NULL
oTGF120611498, 361108602.503653, glg_tte_b0_120611490_v00, 9, 5, 15, 2012-06-11, 11:56:40.50365, 0.283000, 1.59E-23, 278.2738, +6.0270, 550.54, 0.271, NULL
oTGF120611732a, 361128863.278935, glg_tte_b0_bn120611732_v00, 22, 20, 103, 2012-06-11, 17:34:21.27893, 0.141000, 4.49E-202, 24.6180, -0.0462, 538.79, 0.801, tTGF120611732
oTGF120611732b, 361128872.419851, glg_tte_b0_bn120611732_v00, 14, 11, 38, 2012-06-11, 17:34:30.41985, 0.283000, 7.73E-49, 25.0988, +0.2039, 538.68, 0.802, NULL
oTGF120612421, 361188346.081918, glg_tte_b0_120612413_v00, 8, 5, 20, 2012-06-12, 10:05:44.08191, 0.141000, 4.15E-35, 275.6990, +15.7364, 544.68, 0.187, NULL
oTGF120612817, 361222551.366681, glg_tte_b0_120612813_v00, 8, 5, 35, 2012-06-12, 19:35:49.36668, 0.283000, 9.09E-39, 121.4707, +18.6372, 542.67, 0.154, NULL
oTGF120613411, 361273921.420177, glg_tte_b0_120613408_v00, 4, 8, 35, 2012-06-13, 09:51:59.42017, 0.141000, 2.42E-53, 253.4403, +21.2465, 540.20, 0.115, NULL
oTGF120613721, 361300734.884455, glg_tte_b0_120613717_v00, 13, 11, 53, 2012-06-13, 17:18:52.88445, 0.141000, 1.90E-87, 21.6571, +4.0601, 539.98, 0.781, NULL
oTGF120614412, 361360381.989570, glg_tte_b0_120614403_v00, 15, 10, 31, 2012-06-14, 09:52:59.98957, 0.141000, 3.76E-73, 282.2208, +8.0540, 544.31, 0.196, NULL
oTGF120614646, 361380603.207100, glg_tte_b0_120614642_v00, 9, 7, 39, 2012-06-14, 15:30:01.20710, 0.100000, 5.88E-64, 26.4827, -3.2433, 545.33, 0.719, NULL
oTGF120615050a, 361415529.809975, glg_tte_b0_120615047_v00, 13, 11, 60, 2012-06-15, 01:12:07.80997, 0.100000, 1.27E-126, 271.3469, +12.2375, 538.97, 0.803, NULL
oTGF120615050b, 361415536.611263, glg_tte_b0_120615047_v00, 8, 8, 18, 2012-06-15, 01:12:14.61126, 0.283000, 7.90E-27, 271.7229, +12.4034, 538.92, 0.805, NULL
oTGF120615402, 361445928.271576, glg_tte_b0_120615398_v00, 13, 22, 59, 2012-06-15, 09:38:46.27157, 0.632000, 3.30E-76, 259.4592, +15.7177, 539.21, 0.122, NULL
oTGF120615406a, 361446297.671100, glg_tte_b0_120615398_v00, 11, 11, 45, 2012-06-15, 09:44:55.67110, 0.200000, 1.90E-79, 279.7522, +6.5914, 543.08, 0.183, NULL
oTGF120615406b, 361446314.325495, glg_tte_b0_120615398_v00, 13, 13, 73, 2012-06-15, 09:45:12.32549, 0.141000, 5.04E-146, 280.6385, +6.1483, 543.28, 0.186, NULL
oTGF120617395, 361618093.294020, glg_tte_b0_120617388_v00, 9, 7, 25, 2012-06-17, 09:28:11.29402, 0.283000, 3.97E-36, 272.8766, +4.5756, 540.40, 0.152, NULL
oTGF120617967, 361667523.117525, glg_tte_b0_120617961_v00, 12, 12, 33, 2012-06-17, 23:12:01.11752, 0.100000, 2.91E-79, 287.0546, +15.4605, 542.77, 0.763, NULL
oTGF120618625, 361724399.429271, glg_tte_b0_120618620_v00, 14, 16, 89, 2012-06-18, 14:59:57.42927, 0.141000, 2.79E-159, 23.5106, +6.4411, 547.94, 0.689, NULL
oTGF120620023, 361845218.899150, glg_tte_b0_120620019_v00, 6, 5, 13, 2012-06-20, 00:33:36.89915, 0.200000, 5.59E-19, 266.5862, +20.5103, 544.23, 0.763, NULL
oTGF120620491, 361885639.251047, glg_tte_b0_120620488_v00, 11, 9, 34, 2012-06-20, 11:47:17.25104, 0.141000, 1.42E-61, 118.1455, +24.9296, 541.79, 0.818, NULL
oTGF120622937, 362096973.924000, glg_tte_b0_120622933_v00, 14, 22, 55, 2012-06-22, 22:29:31.92400, 0.200000, 6.18E-113, 268.7310, +18.6885, 550.45, 0.682, NULL
oTGF120623258, 362124709.031821, glg_tte_b0_bn120623258_v00, 16, 19, 96, 2012-06-23, 06:11:47.03182, 0.283000, 2.85E-171, 98.9093, -3.5123, 555.84, 0.531, tTGF120623258
oTGF120623724, 362164975.614164, glg_tte_b0_120623723_v00, 20, 16, 46, 2012-06-23, 17:22:53.61416, 0.283000, 8.03E-90, 298.8062, +1.9151, 555.06, 0.553, NULL
oTGF120624218, 362207677.880330, glg_tte_b0_120624209_v00, 8, 8, 80, 2012-06-24, 05:14:35.88033, 0.141000, 5.99E-142, 284.2115, +4.2616, 535.92, 0.006, NULL
oTGF120625746, 362339678.133030, glg_tte_b0_120625745_v00, 14, 7, 56, 2012-06-25, 17:54:36.13303, 0.141000, 2.37E-107, 102.2517, -5.2475, 537.07, 0.028, NULL
oTGF120625943, 362356657.304950, glg_tte_b0_120625936_v00, 10, 6, 19, 2012-06-25, 22:37:35.30495, 0.200000, 1.45E-35, 18.9939, +0.0117, 537.06, 0.994, NULL
oTGF120626205, 362379314.395044, glg_tte_b0_120626199_v00, 4, 5, 15, 2012-06-26, 04:55:12.39504, 0.141000, 1.45E-23, 268.9322, +6.5057, 538.07, 0.950, NULL
oTGF120627913, 362526874.948715, glg_tte_b0_120627906_v00, 17, 18, 53, 2012-06-27, 21:54:32.94871, 0.141000, 2.12E-118, 279.5402, +25.6902, 553.28, 0.687, NULL
oTGF120628127, 362545351.558500, glg_tte_b0_bn120628127_v00, 43, 41, 260, 2012-06-28, 03:02:29.55850, 1.000000, 4.88E-398, 284.6628, +5.3872, 540.82, 0.915, tTGF120628127
oTGF120628694a, 362594365.288180, glg_tte_b0_120628692_v00, 5, 9, 8, 2012-06-28, 16:39:23.28818, 0.070700, 2.12E-29, 276.6669, +4.4852, 551.60, 0.460, NULL
oTGF120628694b, 362594382.951146, glg_tte_b0_120628692_v00, 8, 5, 17, 2012-06-28, 16:39:40.95114, 0.283000, 2.76E-23, 277.5984, +4.9608, 551.70, 0.463, NULL
oTGF120629120, 362631141.849240, glg_tte_b0_120629112_v00, 6, 6, 24, 2012-06-29, 02:52:19.84924, 0.141000, 5.48E-40, 275.5586, +7.2315, 543.17, 0.883, NULL
oTGF120629162, 362634821.090300, glg_tte_b0_120629155_v00, 4, 10, 32, 2012-06-29, 03:53:39.09030, 0.400000, 2.19E-35, 127.1253, +14.3485, 553.03, 0.513, NULL
oTGF120630041, 362710757.601500, glg_tte_b0_120630036_v00, 10, 11, 94, 2012-06-30, 00:59:15.60150, 2.000000, 6.57E-46, 265.4098, +19.3112, 550.06, 0.776, NULL
oTGF120630044, 362711025.985450, glg_tte_b0_120630036_v00, 15, 13, 44, 2012-06-30, 01:03:43.98545, 0.200000, 1.93E-87, 280.8224, +13.5632, 547.32, 0.822, NULL
oTGF120630434, 362744668.546812, glg_tte_b0_bn120630434_v00, 39, 49, 216, 2012-06-30, 10:24:26.54681, 0.632000, 1.33E-357, 92.3452, +25.0306, 554.17, 0.688, tTGF120630434
oTGF120630753, 362772264.755263, glg_tte_b0_120630750_v00, 7, 15, 75, 2012-06-30, 18:04:22.75526, 0.141000, 3.40E-137, 266.3851, +15.9229, 551.92, 0.490, NULL
oTGF120701035, 362796632.255957, glg_tte_b0_120701030_v00, 6, 5, 16, 2012-07-01, 00:50:29.25595, 0.283000, 4.53E-19, 260.9212, +19.0089, 551.41, 0.757, NULL
oTGF120702764, 362946019.175373, glg_tte_b0_120702760_v00, 6, 8, 14, 2012-07-02, 18:20:16.17537, 0.283000, 1.04E-22, 18.9012, +5.6080, 549.53, 0.814, NULL
oTGF120704488, 363095002.874796, glg_tte_b0_120704485_v00, 5, 4, 31, 2012-07-04, 11:43:19.87479, 0.141000, 1.90E-45, 114.0343, +1.2148, 551.23, 0.802, NULL
oTGF120704735, 363116328.579640, glg_tte_b0_120704728_v00, 4, 6, 23, 2012-07-04, 17:38:45.57964, 0.070700, 3.92E-42, 283.2348, +25.2094, 551.80, 0.519, NULL
oTGF120704951, 363134960.027929, glg_tte_b0_120704942_v00, 24, 32, 143, 2012-07-04, 22:49:17.02792, 0.283000, 7.51E-294, 297.7261, +4.2004, 552.47, 0.775, tTGF120704951
oTGF120705943, 363220655.364950, glg_tte_b0_120705933_v00, 9, 11, 48, 2012-07-05, 22:37:32.36495, 0.100000, 4.08E-102, 283.6623, +8.5136, 553.90, 0.727, NULL
oTGF120705944, 363220735.536675, glg_tte_b0_120705933_v00, 5, 6, 19, 2012-07-05, 22:38:52.53667, 0.100000, 8.86E-37, 287.9357, +6.4096, 553.73, 0.740, NULL
oTGF120706512, 363269802.805248, glg_tte_b0_120706509_v00, 10, 8, 49, 2012-07-06, 12:16:39.80524, 0.141000, 4.71E-88, 282.7303, +4.8591, 538.07, 0.294, NULL
oTGF120706651, 363281832.419014, glg_tte_b0_120706647_v00, 10, 9, 34, 2012-07-06, 15:37:09.41901, 0.141000, 6.83E-63, 266.3070, +18.8013, 542.98, 0.387, NULL
oTGF120706653, 363282030.840350, glg_tte_b0_120706647_v00, 9, 9, 24, 2012-07-06, 15:40:27.84035, 0.200000, 2.20E-40, 278.3021, +22.1834, 545.32, 0.423, NULL
oTGF120708570, 363447635.619198, glg_tte_b0_120708566_v00, 11, 10, 41, 2012-07-08, 13:40:32.61919, 0.141000, 8.99E-78, 268.8495, +14.7654, 537.88, 0.313, NULL
oTGF120708662, 363455589.337461, glg_tte_b0_bn120708662_v00, 15, 11, 44, 2012-07-08, 15:53:06.33746, 0.283000, 1.14E-75, 18.3537, +1.6676, 555.02, 0.709, tTGF120708662
oTGF120708858, 363472538.760400, glg_tte_b0_120708851_v00, 10, 8, 22, 2012-07-08, 20:35:35.76040, 0.200000, 2.34E-42, 293.5533, +7.6196, 554.23, 0.670, NULL
oTGF120708971, 363482276.971663, glg_tte_b0_bn120708971_v00, 19, 19, 95, 2012-07-08, 23:17:53.97166, 0.141000, 5.22E-210, 140.1185, +20.7507, 539.77, 0.356, tTGF120708971
oTGF120709852, 363558410.327050, glg_tte_b0_120709842_v01, 7, 16, 38, 2012-07-09, 20:26:47.32705, 0.200000, 1.42E-71, 288.8737, +7.2468, 553.71, 0.651, NULL
oTGF120710774, 363638107.137350, glg_tte_b0_120710766_v00, 7, 6, 20, 2012-07-10, 18:35:04.13735, 0.200000, 3.59E-30, 283.6039, +17.6456, 549.37, 0.558, NULL
oTGF120711485, 363699507.223483, glg_tte_b0_120711480_v00, 5, 5, 20, 2012-07-11, 11:38:24.22348, 0.283000, 2.63E-21, 278.0923, +15.2265, 535.33, 0.254, NULL
